2024-06-03-09:30:00,ERROR-1
2024-06-17-09:45:02,74.127
2024-06-17-09:50:03,73.790
2024-06-17-09:55:03,74.015
2024-06-17-10:00:04,74.258
2024-06-17-10:05:05,74.230
2024-06-17-10:10:05,74.390
2024-06-17-10:15:06,74.449
2024-06-17-10:20:07,74.480
2024-06-17-10:25:07,74.310
2024-06-17-10:30:08,74.204
2024-06-17-10:35:08,74.340
2024-06-17-10:40:09,74.462
2024-06-17-10:45:10,74.380
2024-06-17-10:50:10,74.290
2024-06-17-10:55:11,74.355
2024-06-17-11:00:11,74.542
2024-06-17-11:05:12,74.715
2024-06-17-11:10:13,74.860
2024-06-17-11:15:13,74.850
2024-06-17-11:20:14,74.920
2024-06-17-11:25:14,74.950
2024-06-17-11:30:15,74.900
2024-06-17-11:35:16,74.875
2024-06-17-11:40:16,74.880
2024-06-17-11:45:17,74.930
